acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
ORBm5,0.013086871711231159,0.013086871711231159,0.01047016458650825,0.01570357870694697,0.01047016458650825,0.01570357870694697,False,583747816
ORBm6a,0.016958581780069995,0.016958581780069995,0.012621266825938022,0.02129582840233541,0.012621266825938022,0.02129582840233541,False,583747816
ORBm6b,0.010828378010593736,0.010828378010593736,0.008953723761937676,0.012703032181887765,0.008953723761937676,0.012703032181887765,False,583747816
ORBvl,0.015403665738486078,0.015403665738486078,0.011532767446576645,0.019274547128958538,0.011532767446576645,0.019274547128958538,False,583747816
ORBvl1,0.02237792984721916,0.02237792984721916,0.017517722731160305,0.02723812863294814,0.017517722731160305,0.02723812863294814,False,583747816
ORBvl2/3,0.013999292070042784,0.013999292070042784,0.01019100426607223,0.017807577677449355,0.01019100426607223,0.017807577677449355,False,583747816
ORBvl5,0.01283219851878023,0.01283219851878023,0.009323237571798723,0.016341159898883167,0.009323237571798723,0.016341159898883167,False,583747816
ORBvl6a,0.013885585023699513,0.013885585023699513,0.010498769014676593,0.01727240103821793,0.010498769014676593,0.01727240103821793,False,583747816
ORBvl6b,0.01599456817498616,0.01599456817498616,0.0129829984727187,0.019006137947279303,0.0129829984727187,0.019006137947279303,False,583747816
OT,0.00020134258467737712,0.00020134258467737712,0.00015725110367961612,0.00024543250243728255,0.00015725110367961612,0.00024543250243728255,False,583747816
OV,7.625035704076169e-05,7.625035704076169e-05,8.840044525094493e-05,6.410026890699277e-05,8.840044525094493e-05,6.410026890699277e-05,False,583747816
P,0.0035539125683736014,0.0035539125683736014,0.0025917597212784115,0.004516065939836574,0.0025917597212784115,0.004516065939836574,False,583747816
P-mot,0.0034116579488135353,0.0034116579488135353,0.0023897246488900283,0.004433592071539147,0.0023897246488900283,0.004433592071539147,False,583747816
P-sat,0.008840209639529759,0.008840209639529759,0.0064005993507304775,0.011279815755030367,0.0064005993507304775,0.011279815755030367,False,583747816
P-sen,7.978776949762431e-05,7.978776949762431e-05,6.343526867580375e-05,9.614020617644961e-05,6.343526867580375e-05,9.614020617644961e-05,False,583747816
P5,9.191860481279422e-05,9.191860481279422e-05,4.96710724176782e-05,0.00013416613706494453,4.96710724176782e-05,0.00013416613706494453,False,583747816
PA,1.1125288936152957e-05,1.1125288936152957e-05,8.091380716997598e-06,1.4159300688097628e-05,8.091380716997598e-06,1.4159300688097628e-05,False,583747816
PAA,5.836887893202376e-05,5.836887893202376e-05,6.318396072080007e-05,5.355264927797401e-05,6.318396072080007e-05,5.355264927797401e-05,False,583747816
PAG,0.00969058770346914,0.00969058770346914,0.005680476318146782,0.01370069323614924,0.005680476318146782,0.01370069323614924,False,583747816
PAL,0.001385782764042215,0.001385782764042215,0.0007156767638465622,0.002055891070939829,0.0007156767638465622,0.002055891070939829,False,583747816
PALc,0.0005391906446176183,0.0005391906446176183,0.00022026724627973118,0.0008581137281777365,0.00022026724627973118,0.0008581137281777365,False,583747816
PALd,0.0015391231267255084,0.0015391231267255084,0.0008682714002897988,0.0022099747909670128,0.0008682714002897988,0.0022099747909670128,False,583747816
PALm,0.0013512099933972745,0.0013512099933972745,0.000815268362697429,0.0018871518925821314,0.000815268362697429,0.0018871518925821314,False,583747816
PALv,0.0004117419330149483,0.0004117419330149483,0.00019599203746073268,0.0006274922845689578,0.00019599203746073268,0.0006274922845689578,False,583747816
PAR,0.0006542810981185825,0.0006542810981185825,0.00044388505372423685,0.0008646771056325327,0.00044388505372423685,0.0008646771056325327,False,583747816
PARN,5.8858030030169294e-05,5.8858030030169294e-05,7.713568628588282e-05,4.057667943607037e-05,7.713568628588282e-05,4.057667943607037e-05,False,583747816
PAS,0.00016275929072501105,0.00016275929072501105,0.0002229202200418936,0.00010259836106063435,0.0002229202200418936,0.00010259836106063435,False,583747816
PB,0.00015557583913154198,0.00015557583913154198,8.725071185003192e-05,0.00022390096584126354,8.725071185003192e-05,0.00022390096584126354,False,583747816
PBG,0.0004210427143253105,0.0004210427143253105,9.451132080454798e-05,0.0007475741076833418,9.451132080454798e-05,0.0007475741076833418,False,583747816
PC5,0.00024329277322603248,0.00024329277322603248,0.00022838450021069113,0.0002582010458809142,0.00022838450021069113,0.0002582010458809142,False,583747816
PCG,0.012640529708363232,0.012640529708363232,0.010546898332020016,0.014734161076738427,0.010546898332020016,0.014734161076738427,False,583747816
PCN,0.0041522303941429,0.0041522303941429,0.002168996748654224,0.0061354640581227585,0.002168996748654224,0.0061354640581227585,False,583747816
PD,0.0002944162690414854,0.0002944162690414854,9.109906511862344e-05,0.0004977334718597687,9.109906511862344e-05,0.0004977334718597687,False,583747816
PDTg,0.007772377065960187,0.007772377065960187,0.006628734627709333,0.008916019493757943,0.006628734627709333,0.008916019493757943,False,583747816
PERI,0.0013282690838102046,0.0013282690838102046,0.0012452797676421078,0.0014112583999783,0.0012452797676421078,0.0014112583999783,False,583747816
PERI1,0.0007213563446570619,0.0007213563446570619,0.0004311493561910884,0.0010115633332103584,0.0004311493561910884,0.0010115633332103584,False,583747816
PERI2/3,0.0009847048456853031,0.0009847048456853031,0.0008299296127603831,0.001139480078888293,0.0008299296127603831,0.001139480078888293,False,583747816
PERI5,0.002279370474967775,0.002279370474967775,0.0023011764344506754,0.002257564526249332,0.0023011764344506754,0.002257564526249332,False,583747816
PERI6a,0.0029041648785226803,0.0029041648785226803,0.0035438339728105866,0.002264495774886048,0.0035438339728105866,0.002264495774886048,False,583747816
PERI6b,0.0016067718689871835,0.0016067718689871835,0.002525537808099457,0.0006880059364011217,0.002525537808099457,0.0006880059364011217,False,583747816
PF,0.008684852015993774,0.008684852015993774,0.004213032425029752,0.013156671596472755,0.004213032425029752,0.013156671596472755,False,583747816
PFL,8.553894118410302e-05,8.553894118410302e-05,5.967989114554722e-05,0.00011139830029169022,5.967989114554722e-05,0.00011139830029169022,False,583747816
PG,0.006541901522989277,0.006541901522989277,0.003798994019225171,0.009284807171736227,0.003798994019225171,0.009284807171736227,False,583747816
PGRN,0.00017983911978027183,0.00017983911978027183,0.0001940399383983135,0.00016563240057423717,0.0001940399383983135,0.00016563240057423717,False,583747816
PGRNd,9.010519901779926e-05,9.010519901779926e-05,8.484347650354006e-05,9.537836682946982e-05,8.484347650354006e-05,9.537836682946982e-05,False,583747816
PGRNl,0.00021011841109469054,0.00021011841109469054,0.0002309649164315603,0.00018927190551027752,0.0002309649164315603,0.00018927190551027752,False,583747816
PH,0.01354990206949201,0.01354990206949201,0.010511863913267014,0.016587940301599064,0.010511863913267014,0.016587940301599064,False,583747816
PHY,0.0004713630368758111,0.0004713630368758111,0.0003913149297815987,0.0005514111470427432,0.0003913149297815987,0.0005514111470427432,False,583747816
PIL,0.0019510380625511702,0.0019510380625511702,0.0006849371368812714,0.0032171389948699304,0.0006849371368812714,0.0032171389948699304,False,583747816
PIR,0.000164471588081056,0.000164471588081056,0.00015915089115811163,0.00016979133748154957,0.00015915089115811163,0.00016979133748154957,False,583747816
PL,0.019532096464972434,0.019532096464972434,0.013786242276648654,0.02531468600468032,0.013786242276648654,0.02531468600468032,False,583747816
PL1,0.01912637870942035,0.01912637870942035,0.015428770632368837,0.022833724484640074,0.015428770632368837,0.022833724484640074,False,583747816
PL2/3,0.018396536069381256,0.018396536069381256,0.01455446984773236,0.02226666403213155,0.01455446984773236,0.02226666403213155,False,583747816
PL5,0.018598686487986973,0.018598686487986973,0.012174081872539938,0.025095424303598533,0.012174081872539938,0.025095424303598533,False,583747816
PL6a,0.0230270853344214,0.0230270853344214,0.014645192869482683,0.031419472045530146,0.014645192869482683,0.031419472045530146,False,583747816
PL6b,0.0187284668351151,0.0187284668351151,0.013087795964455945,0.024368483214531927,0.013087795964455945,0.024368483214531927,False,583747816
PMd,0.005361071345644697,0.005361071345644697,0.004643319018335976,0.006078823673068817,0.004643319018335976,0.006078823673068817,False,583747816
PMv,0.00026482726178801437,0.00026482726178801437,0.00015427166515833606,0.00037538285666713545,0.00015427166515833606,0.00037538285666713545,False,583747816
PN,0.00358181417185881,0.00358181417185881,0.0011413588952482686,0.006022269465248427,0.0011413588952482686,0.006022269465248427,False,583747816
PO,0.0025845928791174864,0.0025845928791174864,0.000850928532865598,0.004318257234753573,0.000850928532865598,0.004318257234753573,False,583747816
POL,0.004191461516005495,0.004191461516005495,0.0014227766474551617,0.006960146401685609,0.0014227766474551617,0.006960146401685609,False,583747816
POR,4.702638064362873e-05,4.702638064362873e-05,5.8629386059627663e-05,3.542337522446089e-05,5.8629386059627663e-05,3.542337522446089e-05,False,583747816
POST,0.00215452258883021,0.00215452258883021,0.0014356716373192333,0.002873366924102923,0.0014356716373192333,0.002873366924102923,False,583747816
PP,0.0020075084846349917,0.0020075084846349917,0.0006992173479415488,0.003315799614060856,0.0006992173479415488,0.003315799614060856,False,583747816
PPN,0.002452690497100879,0.002452690497100879,0.001373469380130542,0.0035319116144500585,0.001373469380130542,0.0035319116144500585,False,583747816
PPT,0.0084773308941786,0.0084773308941786,0.003119832622402447,0.013834829140886375,0.003119832622402447,0.013834829140886375,False,583747816
PPY,0.00040822581036705305,0.00040822581036705305,0.0003846029359655027,0.00043184868440187244,0.0003846029359655027,0.00043184868440187244,False,583747816
PR,0.026044013415114507,0.026044013415114507,0.017182641362097868,0.03490538542641831,0.017182641362097868,0.03490538542641831,False,583747816
PRC,0.01520636959051619,0.01520636959051619,0.009139081610139568,0.021273657577540333,0.009139081610139568,0.021273657577540333,False,583747816
PRE,0.0005020474121582749,0.0005020474121582749,0.00044659788298277074,0.0005574965283228838,0.00044659788298277074,0.0005574965283228838,False,583747816
PRM,4.308902944363609e-05,4.308902944363609e-05,5.001400267940652e-05,3.616445555615493e-05,5.001400267940652e-05,3.616445555615493e-05,False,583747816
